编号,开始答题时间,结束答题时间,答题时长,地理位置国家和地区,地理位置省,地理位置市,自定义字段,IP,UA,Referrer,1.Please enter your unique ID， which can be found in the 'FPSExp/FPSGame/ShootingGame/Test/IDConfirm.txt' file within the experiment game folder.,2.How familiar are you with FPS Games?,3.Your Gender,4.Age： Which category includes yours?,5.Please share your gaming experience with us.,6.Do you have any suggestions for our game?
72,2023/10/10 22:44,2023/10/10 22:54,572,日本,,,,133.19.169.8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",,"	21260711",B.somewhat familiar,B.Male,D.30-39,It was fun at first. However， FPS games sometimes make me sick. So it's no longer comfortable to play.,Most of the time， I didn't notice when I got hit. Maybe it needs some effect to make it noticeable. I think giving a warning when your blood is low is also good
71,2023/10/9 9:45,2023/10/9 9:53,446,美国,,,,108.49.187.83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",,"	21383808",B.somewhat familiar,B.Male,C.21-29,It's pretty straightforward forward but the accuracy of the weapon is shit， I found I can't even aim in the far distance. Besides， the sound of the footsteps is a key mechanic in the game， it's cool. While in the game， the player experience I felt is mainly challenged and lost， the game is pretty hard and the map is kind of lacks instruction.,One of the main mechanics， which is finding or avoiding the enemy through their footstep is not delivered very well. The whole space lacks motivation for the players to explore， maybe a bit of narrative or signs could help
70,2023/9/22 0:41,2023/9/22 0:44,190,土耳其,,,,176.43.146.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",,"	21244517",C.very familiar,B.Male,B.18-20,The game defines what fps games literally means. I can complain about the sound effects and the inaccuracy of the crosshair which really annoyed me while playing. Sound effects are so bad and does not cooperate with the visual. However i liked the enemies that can detect me easily and they know what to do.,Improving the sound effects and their quality. Crosshair adjustment is a must. Also lack of animation but i consider this is a in progress game.
69,2023/9/21 0:08,2023/9/21 0:10,149,土耳其,,,,31.206.1.123,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",,"	14480809",B.somewhat familiar,B.Male,D.30-39,Desing of the building is a little bit mind tiring， I would prefer to see trajectory of my bullets and adjust my aim accordingly， sounds effects are also somewhat annoying/uncofortable.,Improving sound quality and adding a trajectory line for bullets will greatly improve the experience.
68,2023/9/19 12:11,2023/9/19 12:16,276,中国,上海市,上海市,,101.88.8.135,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.31",,"	9999",C.very familiar,B.Male,C.21-29,none,not at all
67,2023/9/19 11:33,2023/9/19 11:34,108,中国,上海市,上海市,,116.234.40.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",,"	22555622",B.somewhat familiar,B.Male,C.21-29,声音太响了，没办法调灵明度很难受,如果可以调酒灵敏度会更好
66,2023/9/11 21:38,2023/9/11 21:40,141,中国,四川省,成都市,,171.221.103.234,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 Edg/116.0.1938.76",,"	22530010",A.unfamiliar,B.Male,C.21-29,看不见弹道啊，兄弟。我还以为敌人会全部重生呢，不重生倒是手下留情了,看不见弹道啊，兄弟可不可以给点血包啊
65,2023/9/6 21:19,2023/9/6 21:30,677,意大利,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",,"	21332223",B.somewhat familiar,A.Female,C.21-29,I am highly sensitive to loud noises and as instructions stated I played the game with headphones at max volume. It felt really claustrophobic， more so than the shooting itself it's the steps that at some point became so loud and in every direction. I am not an FPS lover personally so that might as well be taken into consideration. It is overall a pretty straightforward first person shooter. I would not play that personally because it made a bit anxious and after the second game it gets repetitive， but I've played worst and more boring games...all in all， at first I thought I had to clear the area to make orange fog appear， but when I realized it was present whether or not I killed all the dummies I tried to rush to end the loud noise as soon as possible. Loud noises help indeed detaching from the world though,"There is a glitch on the screen I forwarded to the experimenter that sent me the game. The hitbox and hp of the dummies are a bit weird， sometimes a single shot kills them and sometimes it seems completely indestructible (maybe it's because their health doesn't get restored when I die， so if I shot them in last game they are weak). Sometimes they die of friendly fire too ahahaI'd say maybe make the footsteps a bit less loud and ""softer""， and just fixing hitboxes and give some sort of variety (mb different mannequins with different abilities). I realize that not enjoying loud noises is a personal thing and usually fps lovers enjoy that."
64,2023/9/3 22:32,2023/9/3 22:42,605,中国,浙江省,杭州市,,112.10.184.152,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",,"	20104710",C.very familiar,B.Male,C.21-29,1、游戏机制简单，可以快速理解和上手；2、游戏音效不够拟真，对游戏观感影响较大；3、开火反馈较差；4、游戏内无设置视角灵敏度等功能；,1、建议更换音效，目前的音效太出戏了；2、可以参考《ready or not》，增加更多的战术设备，增加游戏趣味性。
63,2023/9/2 23:11,2023/9/2 23:15,197,中国,浙江省,杭州市,,58.100.75.50,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",,"	12541909",C.very familiar,B.Male,C.21-29,射程太短了，人机自瞄有点强,射程太短了，人机自瞄有点强
